Sample_ID,Measurement,Date
1,10.0248,2024-01-01
2,9.9931,2024-01-02
3,10.0324,2024-01-03
4,10.0762,2024-01-04
5,9.9883,2024-01-05
6,9.9883,2024-01-06
7,10.079,2024-01-07
8,10.0384,2024-01-08
9,9.9765,2024-01-09
10,10.0271,2024-01-10
11,9.9768,2024-01-11
12,9.9767,2024-01-12
13,10.0121,2024-01-13
14,9.9043,2024-01-14
15,9.9138,2024-01-15
16,9.9719,2024-01-16
17,9.9494,2024-01-17
18,10.0157,2024-01-18
19,9.9546,2024-01-19
20,9.9294,2024-01-20
21,10.0733,2024-01-21
22,9.9887,2024-01-22
23,10.0034,2024-01-23
24,9.9288,2024-01-24
25,9.9728,2024-01-25
26,10.0055,2024-01-26
27,9.9425,2024-01-27
28,10.0188,2024-01-28
29,9.97,2024-01-29
30,9.9854,2024-01-30
31,9.9699,2024-01-31
32,10.0926,2024-02-01
33,9.9993,2024-02-02
34,9.9471,2024-02-03
35,10.0411,2024-02-04
36,9.939,2024-02-05
37,10.0104,2024-02-06
38,9.902,2024-02-07
39,9.9336,2024-02-08
40,10.0098,2024-02-09
41,10.0369,2024-02-10
42,10.0086,2024-02-11
43,9.9942,2024-02-12
44,9.9849,2024-02-13
45,9.9261,2024-02-14
46,9.964,2024-02-15
47,9.977,2024-02-16
48,10.0529,2024-02-17
49,10.0172,2024-02-18
50,9.9118,2024-02-19
