Sample_ID,Measurement,Date
1,10.2332,2024-01-01
2,10.2502,2024-01-02
3,10.3619,2024-01-03
4,10.3569,2024-01-04
5,10.4351,2024-01-05
6,10.463,2024-01-06
7,10.3302,2024-01-07
8,10.3449,2024-01-08
9,10.2654,2024-01-09
10,10.2685,2024-01-10
11,10.0984,2024-01-11
12,10.187,2024-01-12
13,10.1888,2024-01-13
14,10.3238,2024-01-14
15,10.2675,2024-01-15
16,10.4945,2024-01-16
17,10.4916,2024-01-17
18,10.392,2024-01-18
19,10.3936,2024-01-19
20,10.4158,2024-01-20
21,10.2894,2024-01-21
22,10.2911,2024-01-22
23,10.2029,2024-01-23
24,10.2616,2024-01-24
25,10.414,2024-01-25
26,10.3136,2024-01-26
27,10.2633,2024-01-27
28,10.2699,2024-01-28
29,10.3108,2024-01-29
30,10.4142,2024-01-30
31,10.169,2024-01-31
32,10.2726,2024-02-01
33,10.3865,2024-02-02
34,10.156,2024-02-03
35,10.4325,2024-02-04
36,10.2167,2024-02-05
37,10.367,2024-02-06
38,10.3086,2024-02-07
39,10.3355,2024-02-08
40,10.1787,2024-02-09
41,10.312,2024-02-10
42,10.2641,2024-02-11
43,10.42,2024-02-12
44,10.2459,2024-02-13
45,10.2988,2024-02-14
46,10.2709,2024-02-15
47,10.3389,2024-02-16
48,10.4202,2024-02-17
49,10.3016,2024-02-18
50,10.3445,2024-02-19
