Sample_ID,Measurement,Date
1,9.7286,2024-01-01
2,10.2493,2024-01-02
3,10.0707,2024-01-03
4,9.6234,2024-01-04
5,9.8553,2024-01-05
6,10.4129,2024-01-06
7,9.3933,2024-01-07
8,9.8928,2024-01-08
9,10.3165,2024-01-09
10,9.7833,2024-01-10
11,9.8303,2024-01-11
12,9.9763,2024-01-12
13,10.3728,2024-01-13
14,9.8403,2024-01-14
15,9.889,2024-01-15
16,9.8914,2024-01-16
17,10.5515,2024-01-17
18,10.5467,2024-01-18
19,10.251,2024-01-19
20,10.0965,2024-01-20
21,10.1843,2024-01-21
22,10.3727,2024-01-22
23,9.766,2024-01-23
24,10.294,2024-01-24
25,9.6865,2024-01-25
26,9.8406,2024-01-26
27,10.2268,2024-01-27
28,9.6428,2024-01-28
29,9.965,2024-01-29
30,9.7846,2024-01-30
31,9.9361,2024-01-31
32,9.3004,2024-02-01
33,9.5571,2024-02-02
34,9.825,2024-02-03
35,10.2319,2024-02-04
36,9.9566,2024-02-05
37,10.0007,2024-02-06
38,10.1721,2024-02-07
39,9.7801,2024-02-08
40,10.0709,2024-02-09
41,9.7987,2024-02-10
42,9.5681,2024-02-11
43,9.9023,2024-02-12
44,10.1435,2024-02-13
45,10.0846,2024-02-14
46,9.997,2024-02-15
47,10.5981,2024-02-16
48,10.1032,2024-02-17
49,10.2447,2024-02-18
50,10.5595,2024-02-19
